,git_hash,experiment_filestore,experiment,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered,fuzzer_stats,crash_key,bugs_covered
7329,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,50400,10703,,,0
7453,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,51300,10704,,,0
7576,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,52200,10704,,,0
7713,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,53100,10704,,,0
7848,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,54000,10704,,,0
7976,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,54900,10704,,,0
8107,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,55800,10704,,,0
8241,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,56700,10704,,,0
8359,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,57600,10706,,,0
8489,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,58500,10706,,,0
8628,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,59400,10706,,,0
8750,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,60300,10708,,,0
8882,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,61200,10708,,,0
9013,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,62100,10708,,,0
9143,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,63000,10708,,,0
9278,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,63900,10710,,,0
9408,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,64800,10710,,,0
9533,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,65700,10713,,,0
9656,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,66600,10714,,,0
9780,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,67500,10738,,,0
9940,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,68400,10747,,,0
10067,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,69300,10748,,,0
10186,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,70200,10749,,,0
10319,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,71100,10750,,,0
10448,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,72000,10751,,,0
10577,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,72900,10751,,,0
10705,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,73800,10751,,,0
10831,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,74700,10751,,,0
10954,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,75600,10751,,,0
11094,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,76500,10755,,,0
11226,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,77400,10756,,,0
11359,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,78300,10758,,,0
11491,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,79200,10760,,,0
11618,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,80100,10760,,,0
11744,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,81000,10760,,,0
11864,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,81900,10760,,,0
11994,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,82800,10760,,,0
12128,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,83700,10761,,,0
12262,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,84600,10761,,,0
12389,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,85500,10761,,,0
12512,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.698214,2024-04-03 12:57:34.153003,1,86400,10761,,,0
87,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.340789,2024-04-03 12:57:34.153003,2,0,6926,,,0
193,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,acecov-n6-128kb-24h,acecov_n6,curl_curl_fuzzer_http,2024-04-02 12:47:14.340789,2024-04-03 12:57:34.153003,2,900,9987,,,0
