,git_hash,experiment_filestore,experiment,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered,fuzzer_stats,crash_key,bugs_covered
7177,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,49500,10517,,,0
7318,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,50400,10517,,,0
7459,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,51300,10519,,,0
7603,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,52200,10520,,,0
7699,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,53100,10520,,,0
7841,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,54000,10521,,,0
7985,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,54900,10541,,,0
8087,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,55800,10576,,,0
8230,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,56700,10576,,,0
8368,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,57600,10576,,,0
8518,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,58500,10576,,,0
8607,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,59400,10576,,,0
8754,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,60300,10576,,,0
8889,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,61200,10576,,,0
9036,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,62100,10576,,,0
9128,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,63000,10576,,,0
9275,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,63900,10576,,,0
9411,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,64800,10579,,,0
9560,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,65700,10579,,,0
9646,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,66600,10582,,,0
9793,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,67500,10582,,,0
9930,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,68400,10582,,,0
10078,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,69300,10582,,,0
10167,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,70200,10583,,,0
10316,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,71100,10583,,,0
10449,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,72000,10583,,,0
10597,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,72900,10584,,,0
10691,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,73800,10584,,,0
